,ricebought,cleanyard,housetype,nearstable,own_hhappliance,housesqm,own_vehicles,own_receivables,outerwall,numroom,own_jewelry,floor,ipercap,own_fininstrument_7,own_fininstrument_14
1851,0.0,3.0,1.0,3.0,1.0,54.0,3.0,3.0,2.0,4.0,3.0,2.0,900000.0,3.0,1.0
1852,0.0,3.0,1.0,3.0,1.0,64.0,3.0,3.0,2.0,2.0,3.0,3.0,3480000.0,3.0,3.0
1853,0.0,1.0,1.0,1.0,3.0,72.0,3.0,3.0,2.0,3.0,3.0,6.0,640000.0,1.0,3.0
1854,0.0,1.0,1.0,1.0,1.0,60.0,1.0,3.0,1.0,6.0,3.0,3.0,1042500.0,3.0,3.0
1855,14.0,1.0,1.0,3.0,1.0,60.0,1.0,3.0,1.0,7.0,3.0,2.0,250000.0,3.0,3.0
1856,10.0,1.0,1.0,3.0,1.0,60.0,3.0,3.0,1.0,4.0,1.0,2.0,500000.0,3.0,3.0
1857,0.0,3.0,6.0,3.0,1.0,9.0,3.0,3.0,2.0,1.0,1.0,4.0,7800000.0,3.0,3.0
1859,4.0,1.0,1.0,1.0,3.0,55.0,3.0,3.0,2.0,3.0,3.0,3.0,433333.3333333333,1.0,3.0
1860,0.0,1.0,8.0,3.0,1.0,70.0,1.0,1.0,2.0,8.0,1.0,4.0,7041666.666666667,1.0,1.0
1861,0.0,1.0,3.0,3.0,1.0,12.0,3.0,3.0,1.0,1.0,3.0,1.0,15750000.0,1.0,1.0
1862,5.0,3.0,1.0,3.0,1.0,27.0,1.0,1.0,1.0,4.0,3.0,3.0,1500000.0,3.0,3.0
1864,10.0,1.0,1.0,1.0,3.0,54.0,1.0,1.0,2.0,5.0,1.0,6.0,447000.0,1.0,3.0
1865,7.0,3.0,8.0,3.0,3.0,40.0,3.0,3.0,2.0,4.0,1.0,4.0,514000.0,3.0,3.0
1866,8.0,3.0,8.0,1.0,1.0,28.0,3.0,3.0,2.0,3.0,3.0,4.0,1083333.3333333333,3.0,3.0
1867,7.0,3.0,8.0,1.0,1.0,20.0,1.0,1.0,2.0,4.0,3.0,4.0,1748888.888888889,3.0,3.0
1868,14.0,3.0,8.0,1.0,1.0,110.0,3.0,3.0,2.0,6.0,3.0,4.0,1247500.0,3.0,3.0
1869,4.0,3.0,8.0,3.0,3.0,32.0,3.0,3.0,2.0,3.0,3.0,4.0,1405333.3333333333,3.0,3.0
1870,15.0,3.0,8.0,1.0,1.0,12.0,3.0,3.0,2.0,2.0,3.0,4.0,1233333.3333333333,3.0,3.0
1871,6.0,3.0,8.0,3.0,1.0,32.0,3.0,3.0,2.0,2.0,3.0,4.0,595000.0,3.0,1.0
1872,10.0,1.0,8.0,3.0,1.0,45.0,1.0,3.0,100.0,2.0,3.0,4.0,1403333.3333333333,3.0,3.0
1874,9.0,1.0,8.0,1.0,1.0,50.0,3.0,3.0,2.0,4.0,3.0,4.0,2733333.3333333335,3.0,3.0
1875,0.0,1.0,2.0,3.0,1.0,32.0,3.0,3.0,1.0,3.0,1.0,2.0,2416666.6666666665,3.0,3.0
1876,28.0,1.0,8.0,1.0,1.0,24.0,3.0,3.0,2.0,3.0,1.0,4.0,3392727.272727273,3.0,3.0
1879,0.0,3.0,8.0,3.0,1.0,32.0,3.0,3.0,2.0,2.0,3.0,4.0,2150000.0,3.0,3.0
1880,0.0,1.0,2.0,3.0,1.0,90.0,1.0,3.0,2.0,6.0,1.0,4.0,856250.0,3.0,3.0
1881,0.0,3.0,8.0,1.0,3.0,64.0,3.0,3.0,2.0,4.0,3.0,4.0,1400000.0,3.0,3.0
1883,14.0,3.0,8.0,3.0,3.0,28.0,3.0,3.0,2.0,1.0,3.0,4.0,83888.88888888889,3.0,3.0
1884,2.0,3.0,2.0,3.0,3.0,24.0,3.0,3.0,2.0,2.0,3.0,4.0,210000.0,3.0,3.0
1885,0.0,3.0,2.0,3.0,1.0,96.0,3.0,3.0,2.0,3.0,1.0,4.0,2030000.0,3.0,3.0
1886,4.0,3.0,2.0,3.0,3.0,32.0,3.0,3.0,2.0,2.0,3.0,4.0,900000.0,3.0,3.0
1887,7.0,3.0,8.0,3.0,1.0,50.0,1.0,3.0,2.0,5.0,1.0,4.0,3685555.5555555555,3.0,3.0
1888,7.0,3.0,8.0,3.0,3.0,28.0,3.0,3.0,100.0,2.0,3.0,4.0,514545.45454545453,3.0,3.0
1889,10.0,3.0,8.0,3.0,1.0,40.0,3.0,3.0,2.0,4.0,3.0,4.0,1550000.0,3.0,3.0
