,housetype,waste,trash,stagnantwater,nearstable,ventilation,cleanyard,mediumyard,kitchenoutside,sharebedkitch,numroom,floor,outerwall,roof,housesqm,own_house,own_otherbuilding,own_land,own_livestock,own_poultry,own_tanamankeras,own_vehicles,own_hhappliance,own_fininstrument_7,own_receivables,own_jewelry,own_others,ricebought,ipercap,own_fininstrument_14
112,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,6.0,2.0,3.0,40.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,32.0,0.0,3.0
113,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,3.0,2.0,3.0,63.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,15.0,175000.0,3.0
114,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,7.0,3.0,1.0,3.0,63.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,30.0,1920000.0,3.0
116,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,9.0,3.0,1.0,3.0,160.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,16.0,5828571.428571428,3.0
117,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,3.0,80.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,8.0,137142.85714285713,3.0
118,1.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,40.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,30.0,5400000.0,3.0
119,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,64.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,53.0,901818.1818181818,3.0
120,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,3.0,42.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1950000.0,3.0
122,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,3.0,2.0,3.0,12.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,2400000.0,1.0
123,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,6.0,3.0,2.0,3.0,48.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,60.0,4450000.0,1.0
125,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,8.0,3.0,1.0,3.0,63.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,30.0,0.0,3.0
126,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,2.0,3.0,25.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,16.0,0.0,3.0
128,5.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,1.0,3.0,24.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0,18000000.0,3.0
129,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,6.0,3.0,1.0,3.0,63.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0,400000.0,3.0
130,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,6.0,3.0,1.0,3.0,60.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0,4000000.0,3.0
132,1.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,7.0,3.0,2.0,3.0,90.0,,,,,,,,,,,,,0.0,3114545.4545454546,3.0
134,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,6.0,3.0,3.0,24.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,90600000.0,3.0
